Forward price,Forward bid,Power sold,Power bought,hydrogen scheduled,lambda_DW,lambda_UP,E_real,E_forecast
28.32,0.0,3.402558234834574,0.0,3.626619483998317,28.32,28.32,7.029177718832891,E_forecast[1]
10.07,0.0,4.565333414905831,0.0,4.453234224351464,10.07,10.07,9.018567639257295,E_forecast[2]
0.0,0.0,1.9469494556096887,0.0,5.267904655796146,0.0,0.0,7.214854111405835,E_forecast[3]
0.0,0.0,0.28465881506822743,0.0,5.391733757876069,0.0,0.0,5.676392572944296,E_forecast[4]
0.0,0.0,0.10982770909260964,0.0,5.407413670217736,0.0,0.0,5.517241379310345,E_forecast[5]
0.0,0.0,0.10968077503314078,0.0,5.407560604277204,0.0,0.0,5.517241379310345,E_forecast[6]
0.0,0.0,0.10980919653555166,0.0,5.4074321827747935,0.0,0.0,5.517241379310345,E_forecast[7]
0.0,0.0,0.17747198790620455,0.0,5.392819789282124,0.0,0.0,5.570291777188329,E_forecast[8]
0.0,0.0,4.7762315188420725,0.0,5.011566889645991,0.0,0.0,9.787798408488063,E_forecast[9]
0.0,0.0,4.774681282261355,0.0,5.0131171262267085,0.0,0.0,9.787798408488063,E_forecast[10]
0.0,0.0,4.270735673412439,0.0,5.013083955234777,0.0,0.0,9.283819628647215,E_forecast[11]
0.45,0.0,4.067281920386629,0.0,4.9778109178096575,0.45,0.45,9.045092838196286,E_forecast[12]
0.12,0.0,3.6763541309155863,0.0,4.9973859221348125,0.12,0.12,8.673740053050398,E_forecast[13]
0.0,0.0,3.6278646659001055,0.0,5.0193501882113,0.0,0.0,8.647214854111406,E_forecast[14]
0.0,0.0,3.0957934028840253,0.0,5.02091747244754,0.0,0.0,8.116710875331565,E_forecast[15]
0.0,0.0,3.6533091050621387,0.0,5.02043094798826,0.0,0.0,8.673740053050398,E_forecast[16]
1.97,0.0,3.711457446107319,0.0,4.8827070101261025,1.97,1.97,8.594164456233422,E_forecast[17]
54.28,7.131195211676941,0.0,2.6501680731118062,2.097222198304892,54.28,9.06,6.5782493368700266,E_forecast[18]
54.28,7.1588925137437736,0.402745276812996,0.0,2.0935346232363337,54.28,0.07,9.655172413793103,E_forecast[19]
51.0,7.0855555775734365,0.42546050061328966,0.0,2.2502571313623467,51.0,0.0,9.761273209549072,E_forecast[20]
0.0,0.0,4.759824149577147,0.0,5.001449059971925,0.0,0.0,9.761273209549072,E_forecast[21]
0.0,0.0,0.46959179404944695,0.0,5.365951972528802,0.0,0.0,5.835543766578249,E_forecast[22]
0.0,0.0,4.70549219282247,0.0,5.002730618848618,0.0,0.0,9.708222811671089,E_forecast[23]
43.0,4.4299571231935975,0.0,1.8389454233275804,2.979280077322312,43.0,0.0,5.570291777188329,E_forecast[24]
0.0,0.0,0.11009005090440915,0.0,5.407151328405936,0.0,0.0,5.517241379310345,E_forecast[25]
0.0,0.0,0.11287512257144883,0.0,5.404366256738896,0.0,0.0,5.517241379310345,E_forecast[26]
0.0,0.0,0.05986977510236002,0.0,5.404321206330001,0.0,0.0,5.464190981432361,E_forecast[27]
0.0,0.0,0.0,0.7926927238564918,5.408077339241108,0.0,0.0,4.615384615384616,E_forecast[28]
0.0,0.0,0.0,0.5083384449739787,5.415500248687507,0.0,0.0,4.907161803713528,E_forecast[29]
0.0,0.0,0.09162717040807244,0.0,5.425614208902273,0.0,0.0,5.517241379310345,E_forecast[30]
0.0,0.0,4.535824950089937,0.0,5.0397718668861895,0.0,0.0,9.575596816976127,E_forecast[31]
37.43,6.976432153910875,0.0,0.3167566602240752,2.9159213232893273,37.43,37.43,9.575596816976127,E_forecast[32]
45.44,6.807137928415303,0.22274797094039747,0.0,2.54571091762043,48.06,45.44,9.575596816976127,E_forecast[33]
44.94,6.723095353343146,0.2187430680496094,0.0,2.5807079977053897,50.74,44.94,9.522546419098143,E_forecast[34]
44.99,6.779579794414262,0.06606310396318094,0.0,2.5708027249647305,48.11,44.99,9.416445623342176,E_forecast[35]
45.44,6.973397812775938,0.025573267213729878,0.0,2.5235753391084765,48.66,45.44,9.522546419098143,E_forecast[36]
44.44,7.0709614329408845,0.0,0.05366039074197726,2.558295774777219,49.94,44.44,9.575596816976127,E_forecast[37]
44.44,7.0277874535537705,0.0,0.04275972574618958,2.564043890229555,47.26,44.44,9.549071618037136,E_forecast[38]
45.0,6.848771357781989,0.11266128334508796,0.0,2.5611137779710678,50.93,45.0,9.522546419098143,E_forecast[39]
48.2,6.376290825409557,0.036299020077906086,0.0,2.473351799074874,52.38,48.2,8.885941644562333,E_forecast[40]
47.82,5.786675501907674,0.0,0.7700104232441243,2.5695418178881746,56.01,47.82,7.586206896551724,E_forecast[41]
48.43,5.407755109563409,0.0,0.46621935369350886,2.591620742803839,56.95,48.43,7.53315649867374,E_forecast[42]
49.0,4.98324699108759,0.6708587112301387,0.0,2.6217563666477894,55.39,49.0,8.275862068965518,E_forecast[43]
49.0,4.3216679328831145,1.1647805813121597,0.0,2.709837957953265,54.9,49.0,8.196286472148541,E_forecast[44]
48.93,3.6572110346513007,0.0,1.0741317298055941,2.8015360797696776,53.86,48.93,5.384615384615384,E_forecast[45]
48.93,3.3119613524794493,0.0,2.048057594308034,2.8475020773723516,52.71,48.93,4.111405835543767,E_forecast[46]
48.43,3.32869640496705,0.0,2.350965895120158,2.8684233363069542,52.09,48.43,3.8461538461538463,E_forecast[47]
46.1,3.5857549573051903,0.0,2.1258908618387817,2.9433189284062697,50.76,46.1,4.403183023872678,E_forecast[48]
51.98,3.491379793200691,0.0,0.4198580438674653,2.684446420428047,51.98,42.91,5.755968169761273,E_forecast[49]
51.98,3.8680965355643613,0.47373983727877983,0.0,2.6342909481117642,51.98,45.22,6.976127320954907,E_forecast[50]
51.98,3.9877475621430216,0.0,0.823614992781394,2.618360799338638,51.98,48.31,5.7824933687002655,E_forecast[51]
48.4,3.9690105289216255,0.0,0.5732040609560842,2.7845648848196047,48.4,48.4,6.180371352785146,E_forecast[52]
48.79,3.958154087660496,0.0,1.5802067959869301,2.7679413024908897,48.79,48.79,5.145888594164456,E_forecast[53]
45.92,3.7146915319384872,0.0,1.662621755768916,2.9346676243609324,45.92,45.92,4.986737400530504,E_forecast[54]
51.07,3.1839377953110777,0.0,1.5738136295674008,2.7665336591900096,51.07,51.07,4.3766578249336865,E_forecast[55]
51.0,2.9522970268912996,0.0,0.3151838935916822,2.8005526491937514,53.91,51.0,5.437665782493369,E_forecast[56]
51.0,2.911277171375793,0.0,1.3936837123148513,2.8060139679947613,61.76,51.0,4.323607427055703,E_forecast[57]
50.47,2.849439056766877,0.0,2.2660627154645603,2.838374321827657,60.03,50.47,3.4217506631299734,E_forecast[58]
49.5,2.6314875271821503,0.0,2.519438959482036,2.9118241113449783,58.19,49.5,3.0238726790450925,E_forecast[59]
51.0,2.2192043328738684,0.0,2.411789494162007,2.898155453065327,61.47,51.0,2.7055702917771884,E_forecast[60]
62.0,1.8982685521008038,0.0,2.0811585828166903,2.464057139469202,62.0,62.0,2.2811671087533156,E_forecast[61]
52.99,1.526197168354819,0.0,2.0927558440699103,2.9007761823463913,63.12,52.99,2.3342175066313,E_forecast[62]
50.97,1.18406072035191,0.0,2.3911577005426032,3.037335706981144,63.67,50.97,1.830238726790451,E_forecast[63]
50.47,0.8875783724668285,0.0,1.9977618079836863,3.099573355941261,66.13,50.47,1.989389920424403,E_forecast[64]
50.6,0.6354611985214755,0.0,1.534556492327499,3.127212004681355,68.41,50.6,2.2281167108753315,E_forecast[65]
51.48,0.425801090426435,0.0,2.161657378407544,3.115166632808695,69.55,51.48,1.3793103448275863,E_forecast[66]
65.67,0.34244843038412187,0.0,1.114052592330311,2.5222672919196643,65.67,65.67,1.750663129973475,E_forecast[67]
61.51,0.2722833674887475,0.0,2.097758911708892,2.700807109206882,61.51,61.51,0.8753315649867375,E_forecast[68]
57.6,0.30956826769881757,0.0,2.401163682105786,2.8608261836377378,57.6,57.6,0.7692307692307693,E_forecast[69]
54.44,0.4133460379712762,0.0,2.5491008357458877,2.984561163822357,54.44,54.44,0.8488063660477453,E_forecast[70]
48.0,0.6169299153986988,0.0,3.654175847261079,3.2494475233743163,52.09,48.0,0.21220159151193632,E_forecast[71]
45.42,0.9885592838657314,0.0,3.222363919498128,3.3213377921310703,49.98,45.42,1.0875331564986737,E_forecast[72]
46.78,1.9236561115749675,0.0,2.5628377026827325,3.132550291373017,49.87,46.78,2.493368700265252,E_forecast[73]
47.97,2.6025519613497305,0.0,1.1593255052702744,2.986481766732215,47.97,47.97,4.429708222811671,E_forecast[74]
47.07,3.646820921115192,0.0,0.24986096217670406,2.8895121896026263,47.07,47.07,6.286472148541114,E_forecast[75]
48.29,5.230719556895775,1.0335323918726755,0.0,2.6216896957938856,48.29,46.94,8.885941644562333,E_forecast[76]
48.43,6.277466635308056,0.0,0.5039584886520334,2.475828723370502,48.43,47.0,8.249336870026525,E_forecast[77]
46.91,6.523867015483748,0.0,0.390628795205366,2.513976633833024,46.91,46.91,8.647214854111406,E_forecast[78]
52.5,6.62477971076118,0.38862100767424934,0.0,2.2438937112727912,52.5,50.87,9.257294429708223,E_forecast[79]
53.99,6.647312900702722,0.17025432139127883,0.0,2.1744752182243032,53.99,53.99,8.992042440318302,E_forecast[80]
54.44,6.3833092422820465,0.0,0.3237020604595804,2.1897296882040593,54.44,54.44,8.249336870026525,E_forecast[81]
48.79,6.325940241527561,0.054253012920776555,0.0,2.452697992236014,54.18,48.79,8.83289124668435,E_forecast[82]
48.79,6.130351999189369,0.2503261444086089,0.0,2.4787383020253606,53.9,48.79,8.859416445623342,E_forecast[83]
48.29,5.703077572202741,0.3588113875728851,0.0,2.5588006953967866,53.01,48.29,8.620689655172413,E_forecast[84]
46.78,5.254126574203558,0.014296395354287837,0.0,2.689136712139768,51.74,46.78,7.957559681697612,E_forecast[85]
45.78,4.962174289138606,0.0,2.9097991358382833,2.7752110535962293,51.6,45.78,4.827586206896552,E_forecast[86]
45.0,4.593274220940955,0.0,4.510384244494321,2.861407105781482,51.41,45.0,2.9442970822281165,E_forecast[87]
45.0,4.657009901608152,0.0,3.2393743103140515,2.8529214378836185,51.69,45.0,4.270557029177719,E_forecast[88]
46.78,5.0730222068131825,0.0,1.9507271019207,2.7132486616857667,52.59,46.78,5.835543766578249,E_forecast[89]
46.78,5.526931771627405,0.25526563211128916,0.0,2.6528158588607784,53.34,46.78,8.43501326259947,E_forecast[90]
46.28,5.883849473922643,0.29366520344828295,0.0,2.628851370374431,52.81,46.28,8.806366047745357,E_forecast[91]
46.28,5.924855175906039,0.0,0.1397590481979023,2.6233919359523408,51.79,46.28,8.408488063660478,E_forecast[92]
44.5,5.847320020262701,0.0,0.21021858012546613,2.7183362256452592,51.04,44.5,8.355437665782494,E_forecast[93]
44.27,5.841565775258175,0.0,0.03057549772742174,2.7301237808246848,45.43,44.27,8.541114058355438,E_forecast[94]
43.96,5.7393074506815225,0.5206353231976202,0.0,2.7586248653781564,43.96,43.96,9.018567639257295,E_forecast[95]
31.41,0.0,4.98754745956588,0.0,3.420940604094598,31.41,31.41,8.408488063660478,E_forecast[96]
26.9,0.0,4.96614047300079,0.0,3.628023983232632,26.9,26.9,8.594164456233422,E_forecast[97]
25.12,0.0,4.429851421203061,0.0,3.7399098520064875,25.12,25.12,8.169761273209549,E_forecast[98]
24.12,0.0,3.109767940635228,0.0,3.8133089824416952,24.12,24.12,6.923076923076923,E_forecast[99]
22.04,0.0,3.2568222459485447,0.0,3.95803186545729,22.04,22.04,7.214854111405835,E_forecast[100]
18.37,0.0,2.945529407347898,0.0,4.216274306179953,18.37,18.37,7.161803713527851,E_forecast[101]
22.09,0.0,3.065933882296502,0.0,4.042819433353365,22.09,22.09,7.108753315649867,E_forecast[102]
23.35,0.0,2.9472999478201505,0.0,4.028827373134757,23.35,23.35,6.976127320954907,E_forecast[103]
45.6,3.9163888868897674,0.0,1.2425540240678385,2.922982113305393,48.22,45.6,5.596816976127322,E_forecast[104]
45.6,3.306932900157272,0.0,2.2792267825977004,3.004124121167219,49.99,45.6,4.031830238726791,E_forecast[105]
46.11,2.6201075920522996,0.0,3.436876673200617,3.071410990962641,50.73,46.11,2.2546419098143238,E_forecast[106]
46.11,2.5170857418342365,0.0,3.2414701937132775,3.0851271574493326,50.93,46.11,2.3607427055702916,E_forecast[107]
46.11,2.2333324297334745,0.0,3.472948930496515,3.1229056254314758,51.02,46.11,1.883289124668435,E_forecast[108]
51.36,1.8135248253836442,0.0,3.051751152696488,2.9358390594083343,51.36,51.36,1.6976127320954906,E_forecast[109]
47.12,1.4713506317198144,0.0,2.4996155495337655,3.1768060318723066,51.74,47.12,2.1485411140583555,E_forecast[110]
47.12,1.1499972420325926,0.0,2.2740970406733676,3.2195905148211463,51.92,47.12,2.0954907161803713,E_forecast[111]
47.12,0.9268493898905426,0.0,2.1602343380756954,3.2493000675485484,53.22,47.12,2.0159151193633953,E_forecast[112]
48.0,0.7848727195862204,0.0,2.340873070003335,3.227087883573613,55.26,48.0,1.6710875331564987,E_forecast[113]
50.0,0.6640464441742839,0.0,2.700806735679971,3.1508186469433532,55.87,50.0,1.1140583554376657,E_forecast[114]
60.16,0.5849328329183949,0.0,2.5842453661101903,2.7154929045445804,60.16,60.16,0.7161803713527852,E_forecast[115]
58.01,0.4956477229402087,0.0,2.8101500440677674,2.8184811009684076,58.01,58.01,0.5039787798408488,E_forecast[116]
47.63,0.4366685241093695,0.0,3.382539453573398,3.290698515670925,52.75,47.63,0.3448275862068966,E_forecast[117]
46.62,0.39469525780872733,0.0,3.60571031584263,3.343641052728863,51.9,46.62,0.13262599469496023,E_forecast[118]
45.1,0.33329180935117064,0.0,3.6775238113820805,3.423807598847886,51.13,45.1,0.07957559681697612,E_forecast[119]
44.59,0.23288541086536407,0.0,3.6944112909248297,3.4615258800594657,50.21,44.59,0.0,E_forecast[120]
43.76,0.05170368950315174,0.0,3.550665425529002,3.5254869349648423,50.29,43.76,0.02652519893899204,E_forecast[121]
43.25,0.015029928402018333,0.0,3.5434825526206684,3.554977823157642,49.03,43.25,0.02652519893899204,E_forecast[122]
42.4,0.0,0.0,3.598210652082217,3.598210652082217,48.81,42.4,0.0,E_forecast[123]
41.0,0.015371534177763713,0.0,3.6800410919733424,3.6646695577955786,48.66,41.0,0.0,E_forecast[124]
41.0,0.0017141560719450277,0.0,3.668202035626205,3.66648787955426,47.82,41.0,0.0,E_forecast[125]
41.0,0.03490196629920428,0.0,3.6969712731968647,3.6620693068976604,48.72,41.0,0.0,E_forecast[126]
41.0,0.008713229549407897,0.0,3.6742692635110457,3.665556033961638,49.38,41.0,0.0,E_forecast[127]
43.25,0.01637571329193932,0.0,3.571174360774068,3.5547986474821287,49.65,43.25,0.0,E_forecast[128]
43.76,0.020713487475987113,0.0,3.5503264090112614,3.5296129215352745,50.44,43.76,0.0,E_forecast[129]
44.9,0.07680051185717585,0.0,3.5442944095067954,3.4674938976496197,53.4,44.9,0.0,E_forecast[130]
48.0,0.15570105632861042,0.0,3.440030662870416,3.3108548054807976,52.35,48.0,0.02652519893899204,E_forecast[131]
97.65,0.6069378354728746,0.0,1.9848083803051049,1.4043957437712224,97.65,52.77,0.02652519893899204,E_forecast[132]
93.74,0.5899267763970303,0.0,2.1082504596930987,1.5183236832960683,93.74,52.86,0.0,E_forecast[133]
73.66,0.4015391831152535,0.0,2.4766543805810928,2.2077411921607997,73.66,52.44,0.13262599469496023,E_forecast[134]
46.38,0.31509445481884923,0.0,3.6275921377359124,3.365548080795047,51.52,46.38,0.05305039787798408,E_forecast[135]
47.0,0.3330883073952428,0.0,3.6670699826398034,3.333981675244561,51.57,47.0,0.0,E_forecast[136]
48.85,0.331787736496057,0.0,3.5532377798322354,3.2479752422751704,53.4,48.85,0.02652519893899204,E_forecast[137]
61.91,0.3603619249403286,0.0,2.9002635915563486,2.6725276613109803,61.91,61.91,0.13262599469496023,E_forecast[138]
61.36,0.3760884580706486,0.0,2.5387940105625035,2.6932095312716955,61.36,61.36,0.5305039787798409,E_forecast[139]
93.74,0.7364700809408498,0.0,1.3599516550464172,1.498813139092305,93.74,58.57,0.8753315649867375,E_forecast[140]
93.61,0.8552560334679992,0.0,1.360633509762311,1.4868098370370175,93.61,51.95,0.9814323607427056,E_forecast[141]
71.29,0.9114678721217674,0.0,2.2909600559855736,2.2282985499115515,71.29,51.57,0.8488063660477453,E_forecast[142]
47.32,1.122362235655212,0.0,3.407880152393287,3.2138998796027964,50.71,47.32,0.9283819628647215,E_forecast[143]
47.32,1.2987324875242159,0.0,3.3220419569316375,3.1904182227230713,50.23,47.32,1.16710875331565,E_forecast[144]
48.62,0.876653661257872,0.0,2.709945090594447,3.186076575225169,48.62,48.62,1.3527851458885942,E_forecast[145]
47.98,1.0570964405697119,0.0,3.7979436864548037,3.1917756278479565,47.98,47.98,0.45092838196286467,E_forecast[146]
44.0,0.9050443618754538,0.0,3.8279189159533575,3.4003281349797607,47.84,44.0,0.47745358090185674,E_forecast[147]
44.0,0.7485789303000685,0.0,2.419075495838003,3.4211596955114096,46.96,44.0,1.750663129973475,E_forecast[148]
44.0,0.9620793583984211,0.0,2.5245752171977616,3.3927345855897912,48.09,44.0,1.830238726790451,E_forecast[149]
45.5,1.269589615050661,0.0,2.9051480432731007,3.2801207624399464,49.87,45.5,1.6445623342175066,E_forecast[150]
53.51,1.5582626445942889,0.0,3.0257555206806233,2.8733284198529128,53.51,53.51,1.4058355437665782,E_forecast[151]
49.86,1.7239391413089804,0.0,3.4933767788994916,3.016121987723137,66.97,49.86,1.246684350132626,E_forecast[152]
133.92,2.86827704664842,0.0,1.619228124620816,0.3424630143119183,133.92,72.85,1.5915119363395225,E_forecast[153]
93.74,2.1074916417553973,0.0,1.9118327952930565,1.3162774930602055,93.74,73.13,1.5119363395225462,E_forecast[154]
93.74,2.4531205482872562,0.0,1.8400924297437828,1.2702610061249615,93.74,72.32,1.883289124668435,E_forecast[155]
69.52,2.62390625002189,0.0,2.1452333154655348,2.0677461635868806,69.52,69.52,2.546419098143236,E_forecast[156]
67.13,2.7636392429847483,0.0,2.598026709763162,2.1420797744707216,67.13,67.13,2.307692307692308,E_forecast[157]
65.15,2.5128361876434897,0.0,1.6104354669810284,2.2540979530775918,65.15,65.15,3.156498673740053,E_forecast[158]
49.4,2.308283899052101,0.0,3.384450519304809,2.9594557449211427,60.98,49.4,1.883289124668435,E_forecast[159]
49.86,2.742007358894261,0.0,3.129216651193332,2.880577992564323,53.25,49.86,2.493368700265252,E_forecast[160]
53.26,4.053480758714514,0.0,1.2211152238922987,2.552249849793169,53.26,53.26,5.384615384615384,E_forecast[161]
53.0,5.833120663990491,0.3015053144294386,0.0,2.3269124831185337,53.0,53.0,8.461538461538462,E_forecast[162]
51.32,6.791920575544672,0.747567924028138,0.0,2.2748351078542473,51.32,51.32,9.814323607427056,E_forecast[163]
50.89,6.966391372926811,0.6033361264158009,0.0,2.271121307023438,50.89,50.89,9.840848806366049,E_forecast[164]
50.6,7.056944872393924,0.5116381273640478,0.0,2.272265806608079,50.6,50.6,9.840848806366049,E_forecast[165]
50.03,7.078297692485883,0.46708959932765554,0.0,2.295461514552512,50.03,50.03,9.840848806366049,E_forecast[166]
21.15,0.0,5.975820063851053,0.0,3.7589279467590266,21.15,21.15,9.73474801061008,E_forecast[167]
14.38,0.0,5.399820612456759,0.0,4.149251005580377,14.38,14.38,9.549071618037136,E_forecast[168]
17.94,0.0,5.873126824584556,0.0,3.9411967828425,17.94,17.94,9.814323607427056,E_forecast[169]
0.0,0.0,4.75679849537765,0.0,5.0044747141714225,20.91,0.0,9.761273209549072,E_forecast[170]
7.78,0.0,5.091301166792306,0.0,4.537346048061806,7.78,7.78,9.628647214854112,E_forecast[171]
14.33,0.0,5.645040687945457,0.0,4.1427577205426065,14.33,14.33,9.787798408488063,E_forecast[172]
18.56,0.0,5.7939383087517395,0.0,3.8877593039803564,18.56,18.56,9.681697612732096,E_forecast[173]
50.83,6.995168091222105,0.4430361349977856,0.0,2.2700185854512016,50.83,18.57,9.708222811671089,E_forecast[174]
35.81,7.076969123455416,0.0,0.2740825977349628,2.984911882767611,35.81,35.81,9.787798408488063,E_forecast[175]
43.87,7.092084971617172,0.03329093784635972,0.0,2.58284690220756,43.87,43.87,9.708222811671089,E_forecast[176]
46.93,7.104722504607854,0.035171116934692215,0.0,2.435703195433584,46.93,46.93,9.575596816976127,E_forecast[177]
53.57,7.148997035466671,0.22070520500973068,0.0,2.126318979682749,53.57,43.88,9.49602122015915,E_forecast[178]
53.96,7.1499561738410105,0.36980793377851384,0.0,2.1088831072345884,53.96,43.85,9.628647214854112,E_forecast[179]
53.96,7.162668191866217,0.4118387716413796,0.0,2.107190649224501,53.96,46.74,9.681697612732096,E_forecast[180]
43.94,7.143836404947666,0.044847037474471385,0.0,2.5725897671269355,43.94,43.94,9.761273209549072,E_forecast[181]
43.21,7.1244045202179995,0.07953796720346684,0.0,2.6103811200055898,43.21,43.21,9.814323607427056,E_forecast[182]
43.81,7.123905745062713,0.0,0.02370596513160894,2.5814978328009923,43.81,43.81,9.681697612732096,E_forecast[183]
3.35,0.0,5.020189337195244,0.0,4.794134270231812,45.6,3.35,9.814323607427056,E_forecast[184]
6.7,0.0,5.20097594786872,0.0,4.586822460619343,35.21,6.7,9.787798408488063,E_forecast[185]
